Altium Designer Pick and Place Locations
D:\D\Proj\CnC\CnCPrj\CtlQFP\Project Outputs for CtlQFP\Pick Place for QFP.txt

========================================================================================================================
File Design Information:

Date:       31.03.23
Time:       18:39
Revision:   b3a7b52f230ac82f474ed9e03c6c576a1bc30ca7
Variant:    No variations
Units used: mm

Designator Comment          Layer       Footprint             Center-X(mm) Center-Y(mm) Rotation Description                              SolderOption SolderOptoin SolderOpton 
C1         "0,22 мк‘"       BottomLayer SMD0805CAP            203,8701     78,6198      180      "„ип конденсатор 0805"                   ""           ""           Norm        
C2         "47,0 мк‘ 35¬"   TopLayer    CAP6                  203,6020     74,1730      180      "5мм Ёлектролитический конденсатор"      Norm         ""           ""          
C3         "47,0 мк‘ 35¬"   TopLayer    CAP6                  203,6020     41,1530      180      "5мм Ёлектролитический конденсатор"      Norm         ""           ""          
C4         "0,22 мк‘"       BottomLayer SMD0805CAP            203,8701     45,5998      180      "„ип конденсатор 0805"                   ""           ""           Norm        
C5         "0,22 мк‘"       BottomLayer SMD0805CAP            105,6781     9,7808       180      "„ип конденсатор 0805"                   ""           ""           Norm        
C6         "47,0 мк‘ 35¬"   TopLayer    CAP6                  105,4100     12,0650      180      "5мм Ёлектролитический конденсатор"      Norm         ""           ""          
C7         "47,0 мк‘ 35¬"   TopLayer    CAP6                  203,6020     8,3870       180      "5мм Ёлектролитический конденсатор"      Norm         ""           ""          
C9         "0,22 мк‘"       BottomLayer RC0805                189,7380     93,7260      90       "„ип конденсатор 0805"                   ""           Norm         ""          
C10        "47,0 мк‘ 35¬"   TopLayer    cap6                  193,5000     93,9000      90       "5мм Ёлектролитический конденсатор"      Norm         ""           ""          
C11        "47,0 мк‘ 35¬"   TopLayer    cap6                  95,4000      94,7470      180      "5мм Ёлектролитический конденсатор"      Norm         ""           ""          
C12        "47,0 мк‘ 35¬"   TopLayer    CAP6                  113,7920     6,3500       270      "5мм Ёлектролитический конденсатор"      Norm         ""           ""          
C15        "0,22 мк‘"       BottomLayer SMD0805CAP            157,7550     78,5301      270      "„ип конденсатор 0805"                   ""           ""           Norm        
C16        "0,22 мк‘"       BottomLayer RC0805                158,0090     66,4260      180      "„ип конденсатор 0805"                   ""           Norm         ""          
C17        "47,0 мк‘ 35¬"   TopLayer    CAP6                  157,8820     64,3940      180      "5мм Ёлектролитический конденсатор"      Norm         ""           ""          
C18        "10 н‘"          TopLayer    RC0805                153,1830     80,9040      180      "„ип конденсатор 0805"                   ""           Norm         ""          
C19        "47,0 мк‘ 35¬"   TopLayer    CAP6                  145,8170     94,7470      180      "5мм Ёлектролитический конденсатор"      Norm         ""           ""          
C20        "0,22 мк‘"       BottomLayer RC0805                145,9440     92,8420      180      "„ип конденсатор 0805"                   ""           Norm         ""          
C22        "47,0 мк‘ 35¬"   TopLayer    CAP6                  79,1210      12,3190      180      "5мм Ёлектролитический конденсатор"      Norm         ""           ""          
C23        "0,22 мк‘"       BottomLayer SMD0805CAP            79,5161      10,2888      180      "„ип конденсатор 0805"                   ""           ""           Norm        
C24        "47,0 мк‘ 35¬"   TopLayer    CAP6                  156,4590     27,9610      90       "5мм Ёлектролитический конденсатор"      Norm         ""           ""          
C25        "47,0 мк‘ 35¬"   TopLayer    CAP6                  156,4590     21,6110      90       "5мм Ёлектролитический конденсатор"      Norm         ""           ""          
C27        "47,0 мк‘ 35¬"   TopLayer    CAP6                  85,8520      12,3190      360      "5мм Ёлектролитический конденсатор"      Norm         ""           ""          
C32        "0,22 мк‘"       BottomLayer SMD0805CAP            104,1418     49,3889      90       "„ип конденсатор 0805"                   ""           ""           Norm        
C33        "1,0 мк‘"        BottomLayer SMD0805CAP            106,3008     49,3889      90       "„ип конденсатор 0805"                   ""           ""           Norm        
C34        "0,22 мк‘"       BottomLayer SMD0805CAP            108,7138     49,3889      90       "„ип конденсатор 0805"                   ""           ""           Norm        
C35        "1,0 мк‘"        BottomLayer SMD0805CAP            110,9998     49,3889      90       "„ип конденсатор 0805"                   ""           ""           Norm        
C36        "0,22 мк‘"       BottomLayer SMD0805CAP            113,1588     49,3889      90       "„ип конденсатор 0805"                   ""           ""           Norm        
C37        "1,0 мк‘"        BottomLayer SMD0805CAP            115,3178     49,3889      90       "„ип конденсатор 0805"                   ""           ""           Norm        
C38        "0,22 мк‘"       BottomLayer SMD0805CAP            112,0281     59,4378      180      "„ип конденсатор 0805"                   ""           ""           Norm        
C39        "1,0 мк‘"        BottomLayer SMD0805CAP            112,0281     57,1518      180      "„ип конденсатор 0805"                   ""           ""           Norm        
